smiles,Encapsulation_Efficiency_EE<50,Encapsulation_Efficiency_50<=EE<80,Encapsulation_Efficiency_80<EE<=100,chronic_toxicity_none,acute_toxicity_none,acute_toxicity_present,PDI_0_0to0_2,PDI_0_2to0_3,PDI_0_3to0_4,PDI_0_4to0_5
CN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
CN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
CN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
CN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
CN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
CN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
CN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
CN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
CN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
CN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
CN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
CN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
CN(CCCCCCOC(CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
CN(CCCCCCOC(CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
CN(CCCCCCOC(CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
CN(CCCCCCOC(CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
CN(CCCCCCOC(CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
CN(CCCCCCOC(CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
CN(CCCCCCOC(CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
CN(CCCCCCOC(CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
CN(CCCCCCOC(CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
CN(CCCCCCOC(CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
CN(CCCCCCOC(CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
CN(CCCCCCOC(CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
CN(CCCCCCOC(CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
CN(CCCCCCOC(CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
CN(CCCCCCOC(CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
O=C(CCCCCCC/C=C\CCCCCCCC)OCCCCCCN(C)CCOC(OCCN(CCCCCCOC(CCCCCCC/C=C\CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
O=C(CCCCCCC/C=C\CCCCCCCC)OCCCCCCN(C)CCOC(OCCN(CCCCCCOC(CCCCCCC/C=C\CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
O=C(CCCCCCC/C=C\CCCCCCCC)OCCCCCCN(C)CCOC(OCCN(CCCCCCOC(CCCCCCC/C=C\CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
O=C(CCCCCCC/C=C\CCCCCCCC)OCCCCCCN(C)CCOC(OCCN(CCCCCCOC(CCCCCCC/C=C\CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
O=C(CCCCCCC/C=C\CCCCCCCC)OCCCCCCN(C)CCOC(OCCN(CCCCCCOC(CCCCCCC/C=C\CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
O=C(CCCCCCC/C=C\CCCCCCCC)OCCCCCCN(C)CCOC(OCCN(CCCCCCOC(CCCCCCC/C=C\CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
O=C(CCCCCCC/C=C\CCCCCCCC)OCCCCCCN(C)CCOC(OCCN(CCCCCCOC(CCCCCCC/C=C\CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
O=C(CCCCCCC/C=C\CCCCCCCC)OCCCCCCN(C)CCOC(OCCN(CCCCCCOC(CCCCCCC/C=C\CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
O=C(CCCCCCC/C=C\CCCCCCCC)OCCCCCCN(C)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
O=C(CCCCCCC/C=C\CCCCCCCC)OCCCCCCN(C)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
O=C(CCCCCCC/C=C\CCCCCCCC)OCCCCCCN(C)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
O=C(CCCCCCC/C=C\CCCCCCCC)OCCCCCCN(C)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
O=C(CCCCCCC/C=C\CCCCCCCC)OCCCCCCN(C)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
O=C(CCCCCCC/C=C\CCCCCCCC)OCCCCCCN(C)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
O=C(CCCCCCC/C=C\CCCCCCCC)OCCCCCCN(C)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
O=C(CCCCCCC/C=C\CCCCCCCC)OCCCCCCN(C)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
O=C(CCCCCCC/C=C\CCCCCCCC)OCCCCCCN(C)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,0.0,0.0,0.0,0.0
